Country,Total_cases,Population,Percent
Afghanistan,"146,523","38,928,341",0.3764
Africa,"6,743,069","1,340,598,113",0.503
Albania,"133,121","2,877,800",4.6258
Algeria,"172,564","43,851,043",0.3935
Andorra,"14,678","77,265",18.997
Angola,"42,815","32,866,268",0.1303
Anguilla,0,"15,002",0
Antigua and Barbuda,"1,303","97,928",1.3306
Argentina,"4,935,847","45,195,777",10.921
Armenia,"230,339","2,963,234",7.7732
Aruba,0,"106,766",0
Australia,"34,612","25,499,881",0.1357
Austria,"659,508","9,006,400",7.3227
Azerbaijan,"344,520","10,139,175",3.3979
Bahamas,"14,840","393,248",3.7737
Bahrain,"269,303","1,701,583",15.8266
Bangladesh,"1,264,328","164,689,383",0.7677
Barbados,"4,407","287,371",1.5336
Belarus,"446,998","9,449,321",4.7305
Belgium,"1,124,715","11,589,616",9.7045
Belize,"14,163","397,621",3.5619
Benin,"8,394","12,123,198",0.0692
Bermuda,0,"62,273",0
Bhutan,"2,518","771,612",0.3263
Bolivia,"473,899","11,673,029",4.0598
Bonaire Sint Eustatius and Saba,0,"26,221",0
Bosnia and Herzegovina,"205,655","3,280,815",6.2684
Botswana,"106,690","2,351,625",4.5369
Brazil,"19,938,358","212,559,409",9.3801
British Virgin Islands,0,"30,237",0
Brunei,337,"437,483",0.077
Bulgaria,"425,148","6,948,445",6.1186
Burkina Faso,"13,588","20,903,278",0.065
Burundi,"7,080","11,890,781",0.0595
Cambodia,"77,914","16,718,971",0.466
Cameroon,"82,064","26,545,864",0.3091
Canada,"1,438,817","37,742,157",3.8122
Cape Verde,"33,822","555,988",6.0832
Cayman Islands,0,"65,720",0
Central African Republic,"7,151","4,829,764",0.1481
Chad,"4,973","16,425,859",0.0303
Chile,"1,616,942","19,116,209",8.4585
China,"92,614","1,439,323,774",0.0064
Colombia,"4,794,414","50,882,884",9.4224
Comoros,"4,028","869,595",0.4632
Congo,"13,186","5,518,092",0.239
Cook Islands,0,"17,564",0
Costa Rica,"406,814","5,094,114",7.986
Cote d'Ivoire,"50,278","26,378,275",0.1906
Croatia,"363,758","4,105,268",8.8608
Cuba,"394,343","11,326,616",3.4816
Curacao,0,"164,100",0
Cyprus,"102,223","888,005",11.5115
Czechia,"1,673,694","10,708,982",15.6289
Democratic Republic of Congo,"49,917","89,561,404",0.0557
Denmark,"318,807","5,792,203",5.5041
Djibouti,"11,652","988,002",1.1793
Dominica,218,"71,991",0.3028
Dominican Republic,"342,267","10,847,904",3.1551
Ecuador,"487,598","17,643,060",2.7637
Egypt,"284,311","102,334,403",0.2778
El Salvador,"86,620","6,486,201",1.3355
Equatorial Guinea,"8,880","1,402,985",0.6329
Eritrea,"6,547","3,546,427",0.1846
Estonia,"133,685","1,326,539",10.0777
Eswatini,"26,220","1,160,164",2.26
Ethiopia,"280,565","114,963,583",0.244
Europe,"52,245,287","748,680,069",6.9783
European Union,"34,771,814","444,919,060",7.8153
Faeroe Islands,0,"48,865",0
Falkland Islands,0,"3,483",0
Fiji,"30,413","896,444",3.3926
Finland,"107,321","5,540,718",1.937
France,"6,558,601","67,564,251",9.7072
French Polynesia,0,"280,904",0
Gabon,"25,384","2,225,728",1.1405
Gambia,"7,709","2,416,664",0.319
Georgia,"422,188","3,989,175",10.5833
Germany,"3,778,277","83,783,945",4.5095
Ghana,"103,019","31,072,945",0.3315
Gibraltar,0,"33,691",0
Greece,"494,907","10,423,056",4.7482
Greenland,0,"56,772",0
Grenada,164,"112,519",0.1458
Guatemala,"369,626","17,915,567",2.0632
Guernsey,0,"67,052",0
Guinea,"25,801","13,132,792",0.1965
Guinea-Bissau,"4,498","1,967,998",0.2286
Guyana,"22,523","786,559",2.8635
Haiti,"20,077","11,402,533",0.1761
Honduras,"297,111","9,904,608",2.9997
