,ProductItemCode,OrderDateKey,DueDateKey,ShipDateKey,CustomerKey,SalesOrderNumber,SalesAmount,ProductKey
0,HL-U509-R,20191228,20200109,20200104,16313,SO51180,34.99,214
1,HL-U509-R,20191228,20200109,20200104,12132,SO51181,34.99,214
2,HL-U509-R,20191229,20200110,20200105,12390,SO51191,34.99,214
3,HL-U509-R,20191229,20200110,20200105,11241,SO51192,34.99,214
4,HL-U509-R,20191230,20200111,20200106,11338,SO51207,34.99,214
5,HL-U509-R,20191230,20200111,20200106,24604,SO51212,34.99,214
6,HL-U509-R,20191231,20200112,20200107,11615,SO51232,34.99,214
7,HL-U509-R,20191231,20200112,20200107,28204,SO51234,34.99,214
8,HL-U509-R,20191231,20200112,20200107,11061,SO51237,34.99,214
9,HL-U509-R,20191231,20200112,20200107,25625,SO51246,34.99,214
10,HL-U509-R,20200101,20200113,20200108,18544,SO51258,34.99,214
11,HL-U509-R,20200101,20200113,20200108,11433,SO51259,34.99,214
12,HL-U509-R,20200102,20200114,20200109,11456,SO51267,34.99,214
13,HL-U509-R,20200105,20200117,20200112,15553,SO51309,34.99,214
14,HL-U509-R,20200109,20200121,20200116,18205,SO51374,34.99,214
15,HL-U509-R,20200109,20200121,20200116,18209,SO51375,34.99,214
16,HL-U509-R,20200109,20200121,20200116,14047,SO51377,34.99,214
17,HL-U509-R,20200110,20200122,20200117,16394,SO51393,34.99,214
18,HL-U509-R,20200110,20200122,20200117,28672,SO51400,34.99,214
19,HL-U509-R,20200110,20200122,20200117,21465,SO51403,34.99,214
20,HL-U509-R,20200110,20200122,20200117,21469,SO51404,34.99,214
21,HL-U509-R,20200111,20200123,20200118,18214,SO51407,34.99,214
22,HL-U509-R,20200112,20200124,20200119,18217,SO51426,34.99,214
23,HL-U509-R,20200112,20200124,20200119,11243,SO51427,34.99,214
24,HL-U509-R,20200112,20200124,20200119,16218,SO51436,34.99,214
25,HL-U509-R,20200112,20200124,20200119,21488,SO51437,34.99,214
26,HL-U509-R,20200113,20200125,20200120,25088,SO51449,34.99,214
27,HL-U509-R,20200113,20200125,20200120,14198,SO51454,34.99,214
28,HL-U509-R,20200117,20200129,20200124,19475,SO51502,34.99,214
29,HL-U509-R,20200117,20200129,20200124,22273,SO51508,34.99,214
30,HL-U509-R,20200119,20200131,20200126,22808,SO51532,34.99,214
31,HL-U509-R,20200119,20200131,20200126,28201,SO51537,34.99,214
32,HL-U509-R,20200120,20200201,20200127,21858,SO51549,34.99,214
33,HL-U509-R,20200120,20200201,20200127,11387,SO51550,34.99,214
34,HL-U509-R,20200120,20200201,20200127,19271,SO51560,34.99,214
35,HL-U509-R,20200121,20200202,20200128,19240,SO51585,34.99,214
36,HL-U509-R,20200122,20200203,20200129,11271,SO51590,34.99,214
37,HL-U509-R,20200122,20200203,20200129,11004,SO51595,34.99,214
38,HL-U509-R,20200122,20200203,20200129,11439,SO51602,34.99,214
39,HL-U509-R,20200123,20200204,20200130,22441,SO51617,34.99,214
40,HL-U509-R,20200124,20200205,20200131,21857,SO51624,34.99,214
41,HL-U509-R,20200125,20200206,20200201,11339,SO51641,34.99,214
42,HL-U509-R,20200125,20200206,20200201,29137,SO51653,34.99,214
43,HL-U509-R,20200127,20200208,20200203,11290,SO51677,34.99,214
44,HL-U509-R,20200127,20200208,20200203,11224,SO51678,34.99,214
45,HL-U509-R,20200127,20200208,20200203,12281,SO51680,34.99,214
46,HL-U509-R,20200127,20200208,20200203,14181,SO51687,34.99,214
47,HL-U509-R,20200128,20200209,20200204,11409,SO51877,34.99,214
48,HL-U509-R,20200128,20200209,20200204,29079,SO51888,34.99,214
49,HL-U509-R,20200128,20200209,20200204,16982,SO51899,34.99,214
50,HL-U509-R,20200128,20200209,20200204,16392,SO51921,34.99,214
51,HL-U509-R,20200129,20200210,20200205,14557,SO51926,34.99,214
52,HL-U509-R,20200129,20200210,20200205,15766,SO51930,34.99,214
53,HL-U509-R,20200129,20200210,20200205,11287,SO51936,34.99,214
54,HL-U509-R,20200129,20200210,20200205,17374,SO51937,34.99,214
55,HL-U509-R,20200129,20200210,20200205,16041,SO51949,34.99,214
56,HL-U509-R,20200129,20200210,20200205,13582,SO51955,34.99,214
57,HL-U509-R,20200129,20200210,20200205,12061,SO51957,34.99,214
58,HL-U509-R,20200130,20200211,20200206,16609,SO51971,34.99,214
59,HL-U509-R,20200130,20200211,20200206,13574,SO52001,34.99,214
60,HL-U509-R,20200130,20200211,20200206,12053,SO52011,34.99,214
61,HL-U509-R,20200130,20200211,20200206,22282,SO52015,34.99,214
62,HL-U509-R,20200131,20200212,20200207,27981,SO52027,34.99,214
63,HL-U509-R,20200131,20200212,20200207,26132,SO52028,34.99,214
64,HL-U509-R,20200201,20200213,20200208,25439,SO52078,34.99,214
65,HL-U509-R,20200201,20200213,20200208,14561,SO52085,34.99,214
66,HL-U509-R,20200202,20200214,20200209,18272,SO52107,34.99,214
67,HL-U509-R,20200202,20200214,20200209,12742,SO52110,34.99,214
68,HL-U509-R,20200202,20200214,20200209,11496,SO52112,34.99,214
69,HL-U509-R,20200202,20200214,20200209,11277,SO52113,34.99,214
70,HL-U509-R,20200202,20200214,20200209,27968,SO52116,34.99,214
71,HL-U509-R,20200202,20200214,20200209,26852,SO52140,34.99,214
72,HL-U509-R,20200202,20200214,20200209,12708,SO52145,34.99,214
73,HL-U509-R,20200202,20200214,20200209,28720,SO52149,34.99,214
74,HL-U509-R,20200203,20200215,20200210,11978,SO52163,34.99,214
75,HL-U509-R,20200203,20200215,20200210,16617,SO52165,34.99,214
76,HL-U509-R,20200203,20200215,20200210,23729,SO52177,34.99,214
77,HL-U509-R,20200203,20200215,20200210,16814,SO52186,34.99,214
78,HL-U509-R,20200203,20200215,20200210,15257,SO52189,34.99,214
79,HL-U509-R,20200203,20200215,20200210,21339,SO52192,34.99,214
80,HL-U509-R,20200203,20200215,20200210,15278,SO52193,34.99,214
81,HL-U509-R,20200203,20200215,20200210,12502,SO52198,34.99,214
82,HL-U509-R,20200204,20200216,20200211,11410,SO52213,34.99,214
83,HL-U509-R,20200204,20200216,20200211,11483,SO52214,34.99,214
84,HL-U509-R,20200204,20200216,20200211,17078,SO52217,34.99,214
85,HL-U509-R,20200204,20200216,20200211,13998,SO52220,34.99,214
