name,price,discount_price,total_sell,revenue
Áo thun nam Cotton Compact phiên bản Premium chống nhăn Coolmate,259000,239000,46200,11965800000
Combo 3 quần lót nam Trunk Modal (Gỗ sồi) kháng khuẩn thương hiệu Coolmate,279000,259000,34800,9709200000
Quần thể thao nam Ultra Short co giãn có túi khóa kéo thương hiệu Coolmate,189000,99000,38400,7257600000
Combo 3 quần lót nam dáng Trunk Bamboo kháng khuẩn Coolmate,299000,159000,53500,15996500000
Combo 2 quần lót nam Trunk Bamboo kháng khuẩn thương hiệu Coolmate,199000,179000,22500,4477500000
Combo 3 Quần lót tam giác nam BRIEF BAMBOO kháng khuẩn Coolmate,229000,219000,16900,3870100000
Áo thun nam 100% Cotton USA Coolmate Basics thương hiệu Coolmate,105000,105000,38100,4000500000
Quần Short nam Ultra Pro thoải mái vận động (có túi khóa kéo) thương hiệu Coolmate,189000,179000,18800,3553200000
Áo thun nam DÀI TAY Cotton Compact Premium chống nhăn thương hiệu Coolmate,179000,179000,15500,2774500000
Quần thể thao nam Max Ultra Short kiểu dáng thể thao có thêm túi khóa sau tiện lợi Coolmate,199000,189000,13200,2626800000
Áo sát nách thể thao nam Dri-Breathe thoáng mát tối đa thương hiệu Coolmate,189000,179000,6700,1266300000
Áo Polo thể thao nam ProMax-S1 Logo thương hiệu Coolmate,159000,159000,24000,3816000000
Set 2 quần lót nam Trunk Modal (gỗ sồi) mềm mại thấm hút tốt thương hiệu Coolmate,186000,169000,4600,855600000
Áo Polo nam Excool khô thoáng chống nhăn thương hiệu Coolmate,399000,399000,8600,3431400000
"Quần thể thao nam Maxcool màu ĐEN co dãn, thoải mái thương hiệu Coolmate",129000,99000,30400,3921600000
Quần nỉ nam Jogger Casual co giãn - thương hiệu Coolmate,299000,299000,3700,1106300000
Combo 5 quần sịp nam Trunk Cotton co giãn thoải mái thương hiệu Coolmate,496000,249000,15700,7787200000
